Rank,Score,Templates,TotalNodes,PackedNodes,PackRate,NumGroups,AvgUtilization
888,477.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_1",423,423,100.00,241,61.85
889,477.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_1",423,423,100.00,241,61.85
890,477.14,"PMU_1META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,225,60.21
891,477.12,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,201,57.81
892,477.12,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,201,57.81
893,476.98,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,217,59.40
894,476.98,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,217,59.40
895,476.82,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,217,59.38
896,476.82,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,217,59.38
897,476.62,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,227,60.36
898,476.22,"PMU_2META|IO_3META|COMPUTE_1META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,58.52
899,475.90,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,233,60.89
900,475.90,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,233,60.89
901,475.76,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,225,60.08
902,475.76,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,225,60.08
903,475.56,"PMU_1META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,224,59.96
904,475.56,"PMU_1META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,224,59.96
905,475.42,"PMU_1META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,242,61.74
906,475.42,"PMU_1META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,242,61.74
907,475.20,"PMU_3META|IO_3META|COMPUTE_DIRECT|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,193,56.82
908,475.12,"PMU_1META|IO_3META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,234,60.91
909,475.12,"PMU_1META|IO_3META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,234,60.91
910,474.84,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,241,61.58
911,474.84,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,241,61.58
912,473.80,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,243,61.68
913,472.60,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,227,59.96
914,472.60,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,227,59.96
915,472.50,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,192,56.45
916,472.44,"PMU_1META|IO_3META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,217,58.94
917,472.44,"PMU_1META|IO_3META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,217,58.94
918,472.34,"PMU_3META|IO_2META|COMPUTE_1META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,191,56.33
919,472.20,"PMU_3META|IO_2META|COMPUTE_1META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,58.12
920,471.88,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,201,57.29
