Rank,Score,Templates,TotalNodes,PackedNodes,PackRate,NumGroups,AvgUtilization
1035,446.84,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,217,56.38
1036,446.84,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,217,56.38
1037,446.30,"PMU_3META|IO_2META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,191,53.73
1038,446.16,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,234,58.02
1039,445.60,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,199,54.46
1040,445.60,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,199,54.46
1041,445.20,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,192,53.72
1042,445.20,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,192,53.72
1043,445.10,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,242,58.71
1044,444.84,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,200,54.48
1045,444.84,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,200,54.48
1046,444.14,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,241,58.51
1047,444.02,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,191,53.50
1048,444.02,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,191,53.50
1049,443.78,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,201,54.48
1050,443.48,"PMU_1META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,217,56.05
1051,442.96,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,199,54.20
1052,442.96,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,199,54.20
1053,442.94,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_1",423,423,100.00,225,56.79
1054,442.94,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_1",423,423,100.00,225,56.79
1055,442.42,"PMU_1META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,225,56.74
1056,441.08,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,242,58.31
1057,441.08,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,242,58.31
1058,439.16,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,192,53.12
1059,439.16,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,192,53.12
1060,438.54,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,201,53.95
1061,438.46,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_0POST|META_CHAIN_3",423,423,100.00,200,53.85
1062,438.40,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,225,56.34
1063,438.40,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,225,56.34
1064,437.48,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,54.65
1065,437.20,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,200,53.72
1066,437.20,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,200,53.72
1067,436.46,"PMU_2META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,207,54.35
1068,435.78,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,54.48
1069,435.46,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,201,53.65
1070,435.46,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,201,53.65
1071,434.56,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,54.36
1072,434.40,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,209,54.34
1073,434.40,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,209,54.34
1074,433.50,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,217,55.05
1075,433.46,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,209,54.25
1076,433.46,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,54.25
1077,431.86,"PMU_3META|IO_3META|COMPUTE_1META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,192,52.39
1078,431.50,"PMU_2META|IO_3META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,200,53.15
1079,431.08,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,201,53.21
1080,431.08,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,201,53.21
1081,430.80,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,208,53.88
1082,430.80,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,208,53.88
1083,430.68,"PMU_3META|IO_2META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,191,52.17
1084,429.62,"PMU_3META|IO_2META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,199,52.86
1085,429.60,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_1",423,423,100.00,225,55.46
1086,429.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,217,54.65
1087,429.48,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,217,54.65
1088,429.22,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,200,52.92
1089,429.22,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,200,52.92
1090,428.16,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,208,53.62
1091,428.16,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,208,53.62
1092,427.74,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,242,56.97
1093,425.60,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,199,52.46
1094,425.60,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,199,52.46
1095,425.06,"PMU_1META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,225,55.01
1096,423.86,"PMU_3META|IO_3META|COMPUTE_1META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,200,52.39
1097,423.54,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,192,51.55
1098,423.54,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,192,51.55
1099,422.48,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,200,52.25
1100,422.48,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,200,52.25
1101,420.12,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,52.91
1102,419.16,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,192,51.12
1103,419.16,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,192,51.12
1104,417.74,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,201,51.87
1105,417.04,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_2",423,423,100.00,209,52.60
1106,417.04,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_2",423,423,100.00,209,52.60
1107,416.14,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,217,53.31
1108,415.88,"PMU_2META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,200,51.59
1109,415.46,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,201,51.65
1110,415.46,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,201,51.65
1111,414.82,"PMU_2META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,208,52.28
1112,414.40,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_2",423,423,100.00,209,52.34
1113,414.40,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,52.34
1114,412.26,"PMU_3META|IO_2META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,199,51.13
1115,410.80,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,208,51.88
1116,410.80,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,208,51.88
1117,405.82,"PMU_3META|IO_3META|COMPUTE_2META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,192,49.78
1118,405.12,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_1POST|META_CHAIN_3",423,423,100.00,200,50.51
1119,405.12,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_0POST|META_CHAIN_3",423,423,100.00,200,50.51
1120,403.54,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,192,49.55
1121,403.54,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,192,49.55
1122,402.48,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,200,50.25
1123,402.48,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,200,50.25
1124,402.12,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,201,50.31
1125,401.06,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,51.01
1126,397.46,"PMU_2META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,208,50.55
1127,397.04,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,50.60
1128,397.04,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_2",423,423,100.00,209,50.60
1129,390.20,"PMU_3META|IO_3META|COMPUTE_3META|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,192,48.22
1130,389.14,"PMU_3META|IO_3META|COMPUTE_2META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,200,48.91
1131,385.12,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_1PRE_2POST|META_CHAIN_3",423,423,100.00,200,48.51
1132,385.12,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_1POST|META_CHAIN_3",423,423,100.00,200,48.51
1133,383.70,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_2",423,423,100.00,209,49.27
1134,371.78,"PMU_3META|IO_3META|COMPUTE_3META_NOEW|MATMUL_2PRE_2POST|META_CHAIN_3",423,423,100.00,200,47.18
